index,fen,budget,kind,score,depth,nodes,bestmove
14,r4rk1/p1pqbppp/1p6/n7/3P4/2Q2NB1/P3PP1P/2R2KR1 b - - 4 16,2000000,cp,69,13,1568346,d7h3
15,1rb2rk1/p1R5/3p4/2pPb1Bp/3n2pP/P1NB4/1P4P1/1K2R3 w - - 5 23,20000,cp,96,6,15388,b1a2
15,1rb2rk1/p1R5/3p4/2pPb1Bp/3n2pP/P1NB4/1P4P1/1K2R3 w - - 5 23,50000,cp,96,6,15388,b1a2
15,1rb2rk1/p1R5/3p4/2pPb1Bp/3n2pP/P1NB4/1P4P1/1K2R3 w - - 5 23,100000,cp,38,7,85178,b1a2
15,1rb2rk1/p1R5/3p4/2pPb1Bp/3n2pP/P1NB4/1P4P1/1K2R3 w - - 5 23,200000,cp,44,8,123903,b1a2
15,1rb2rk1/p1R5/3p4/2pPb1Bp/3n2pP/P1NB4/1P4P1/1K2R3 w - - 5 23,400000,cp,35,10,276500,b1a2
15,1rb2rk1/p1R5/3p4/2pPb1Bp/3n2pP/P1NB4/1P4P1/1K2R3 w - - 5 23,1000000,cp,16,11,560186,b1a2
15,1rb2rk1/p1R5/3p4/2pPb1Bp/3n2pP/P1NB4/1P4P1/1K2R3 w - - 5 23,2000000,cp,14,12,1189941,b1a2
16,bn2kb1r/5ppp/1q1Pp3/1Pp5/1pP2P2/8/1B1P2PP/3QKBNR b Kk - 0 10,20000,cp,28,6,15023,f8d6
16,bn2kb1r/5ppp/1q1Pp3/1Pp5/1pP2P2/8/1B1P2PP/3QKBNR b Kk - 0 10,50000,cp,3,7,48495,f8d6
16,bn2kb1r/5ppp/1q1Pp3/1Pp5/1pP2P2/8/1B1P2PP/3QKBNR b Kk - 0 10,100000,cp,31,8,76018,f8d6
16,bn2kb1r/5ppp/1q1Pp3/1Pp5/1pP2P2/8/1B1P2PP/3QKBNR b Kk - 0 10,200000,cp,32,9,139675,f8d6
16,bn2kb1r/5ppp/1q1Pp3/1Pp5/1pP2P2/8/1B1P2PP/3QKBNR b Kk - 0 10,400000,cp,49,10,287489,f8d6
16,bn2kb1r/5ppp/1q1Pp3/1Pp5/1pP2P2/8/1B1P2PP/3QKBNR b Kk - 0 10,1000000,cp,29,12,976554,f8d6
16,bn2kb1r/5ppp/1q1Pp3/1Pp5/1pP2P2/8/1B1P2PP/3QKBNR b Kk - 0 10,2000000,cp,13,13,1556918,f8d6
17,1nbq3r/1p3k2/2pb1np1/rP1p1p2/3Pp1p1/1QN1P3/3BNPBP/R3K2R w KQ - 0 12,20000,cp,-180,7,19393,a1a5
17,1nbq3r/1p3k2/2pb1np1/rP1p1p2/3Pp1p1/1QN1P3/3BNPBP/R3K2R w KQ - 0 12,50000,cp,-158,8,35946,a1a5
17,1nbq3r/1p3k2/2pb1np1/rP1p1p2/3Pp1p1/1QN1P3/3BNPBP/R3K2R w KQ - 0 12,100000,cp,-182,9,82677,a1a5
17,1nbq3r/1p3k2/2pb1np1/rP1p1p2/3Pp1p1/1QN1P3/3BNPBP/R3K2R w KQ - 0 12,200000,cp,-186,10,109469,a1a5
17,1nbq3r/1p3k2/2pb1np1/rP1p1p2/3Pp1p1/1QN1P3/3BNPBP/R3K2R w KQ - 0 12,400000,cp,-178,11,285792,a1a5
17,1nbq3r/1p3k2/2pb1np1/rP1p1p2/3Pp1p1/1QN1P3/3BNPBP/R3K2R w KQ - 0 12,1000000,cp,-170,12,488387,a1a5
17,1nbq3r/1p3k2/2pb1np1/rP1p1p2/3Pp1p1/1QN1P3/3BNPBP/R3K2R w KQ - 0 12,2000000,cp,-202,14,1527907,a1a5
18,rn3rk1/p7/1pp3p1/6P1/2n1N3/4B3/PPP1N3/R1K4R b - - 0 18,20000,cp,-104,7,14433,c4e3
18,rn3rk1/p7/1pp3p1/6P1/2n1N3/4B3/PPP1N3/R1K4R b - - 0 18,50000,cp,-151,8,39088,c4e3
18,rn3rk1/p7/1pp3p1/6P1/2n1N3/4B3/PPP1N3/R1K4R b - - 0 18,100000,cp,-200,9,94669,c4e3
18,rn3rk1/p7/1pp3p1/6P1/2n1N3/4B3/PPP1N3/R1K4R b - - 0 18,200000,cp,-189,11,190685,c4e3
18,rn3rk1/p7/1pp3p1/6P1/2n1N3/4B3/PPP1N3/R1K4R b - - 0 18,400000,cp,-184,12,311889,c4e3
18,rn3rk1/p7/1pp3p1/6P1/2n1N3/4B3/PPP1N3/R1K4R b - - 0 18,1000000,cp,-203,13,757375,c4e3
18,rn3rk1/p7/1pp3p1/6P1/2n1N3/4B3/PPP1N3/R1K4R b - - 0 18,2000000,cp,-198,14,1040688,c4e3
19,3k4/p7/b2p1b2/7B/8/4BN2/2P5/3K4 b - - 2 32,20000,cp,-212,6,10196,a6c4
19,3k4/p7/b2p1b2/7B/8/4BN2/2P5/3K4 b - - 2 32,50000,cp,-227,7,23623,d8c7
19,3k4/p7/b2p1b2/7B/8/4BN2/2P5/3K4 b - - 2 32,100000,cp,-225,9,99995,d8c7
19,3k4/p7/b2p1b2/7B/8/4BN2/2P5/3K4 b - - 2 32,200000,cp,-238,10,159474,d8c7
19,3k4/p7/b2p1b2/7B/8/4BN2/2P5/3K4 b - - 2 32,400000,cp,-246,11,244764,d8c7
19,3k4/p7/b2p1b2/7B/8/4BN2/2P5/3K4 b - - 2 32,1000000,cp,-265,13,662800,d8c7
19,3k4/p7/b2p1b2/7B/8/4BN2/2P5/3K4 b - - 2 32,2000000,cp,-273,14,1250848,d8c7
20,4r1k1/p4pp1/7p/q1np4/8/1P3N2/P4PPP/b2Q2KR w - - 0 24,20000,cp,-240,7,14568,b3b4
20,4r1k1/p4pp1/7p/q1np4/8/1P3N2/P4PPP/b2Q2KR w - - 0 24,50000,cp,-241,8,34424,b3b4
20,4r1k1/p4pp1/7p/q1np4/8/1P3N2/P4PPP/b2Q2KR w - - 0 24,100000,cp,-254,10,90715,b3b4
20,4r1k1/p4pp1/7p/q1np4/8/1P3N2/P4PPP/b2Q2KR w - - 0 24,200000,cp,-270,11,130999,b3b4
20,4r1k1/p4pp1/7p/q1np4/8/1P3N2/P4PPP/b2Q2KR w - - 0 24,400000,cp,-270,12,243248,b3b4
20,4r1k1/p4pp1/7p/q1np4/8/1P3N2/P4PPP/b2Q2KR w - - 0 24,1000000,cp,-271,14,814791,b3b4
20,4r1k1/p4pp1/7p/q1np4/8/1P3N2/P4PPP/b2Q2KR w - - 0 24,2000000,cp,-271,15,1934790,b3b4
21,r4bk1/1r6/3pbnpp/1B2pp2/PQ6/4P3/2qNNPPP/R1B2RK1 w - - 3 21,20000,cp,214,5,15214,a4a5
21,r4bk1/1r6/3pbnpp/1B2pp2/PQ6/4P3/2qNNPPP/R1B2RK1 w - - 3 21,50000,cp,193,6,23509,a4a5
21,r4bk1/1r6/3pbnpp/1B2pp2/PQ6/4P3/2qNNPPP/R1B2RK1 w - - 3 21,100000,cp,240,7,75350,a4a5
21,r4bk1/1r6/3pbnpp/1B2pp2/PQ6/4P3/2qNNPPP/R1B2RK1 w - - 3 21,200000,cp,225,9,193082,a4a5
21,r4bk1/1r6/3pbnpp/1B2pp2/PQ6/4P3/2qNNPPP/R1B2RK1 w - - 3 21,400000,cp,225,10,245546,a4a5
21,r4bk1/1r6/3pbnpp/1B2pp2/PQ6/4P3/2qNNPPP/R1B2RK1 w - - 3 21,1000000,cp,223,11,539714,a4a5
21,r4bk1/1r6/3pbnpp/1B2pp2/PQ6/4P3/2qNNPPP/R1B2RK1 w - - 3 21,2000000,cp,193,13,1569355,b4c3
22,3k4/8/5r2/5B1P/5K2/8/8/8 w - - 1 59,20000,cp,52,9,18300,f4g5
22,3k4/8/5r2/5B1P/5K2/8/8/8 w - - 1 59,50000,cp,52,11,31363,f4g5
22,3k4/8/5r2/5B1P/5K2/8/8/8 w - - 1 59,100000,cp,39,13,91782,f4g5
22,3k4/8/5r2/5B1P/5K2/8/8/8 w - - 1 59,200000,cp,29,14,151254,f4g5
22,3k4/8/5r2/5B1P/5K2/8/8/8 w - - 1 59,400000,cp,28,17,325195,f4g5
22,3k4/8/5r2/5B1P/5K2/8/8/8 w - - 1 59,1000000,cp,14,19,865566,f4g5
22,3k4/8/5r2/5B1P/5K2/8/8/8 w - - 1 59,2000000,cp,12,20,1507160,f4g5
