fen,stockfish_eval_cp,gen1_master_eval_cp_nodes10000,gen1_master_eval_cp_nodes20000,gen1_master_eval_cp_nodes50000
"5Q2/8/8/8/6N1/6K1/1k6/8 w - - 1 61",609,1207,1205,1227
"1r5r/1p2R1Q1/1kppB3/p3n3/3qP3/P7/KP6/6R1 w - - 3 35",-154,-136,-146,-107
"rn2k1nr/pp1qppb1/3p2p1/3N3p/3N4/6P1/PPP1PP2/R1BQ1RK1 w kq - 2 9",-231,-61,-41,-66
"r3k2r/2qnn2p/1pppBpp1/4p3/3PP3/1QP2N2/5PPP/2R2RK1 b kq - 1 15",-49,27,12,30
"2r1k3/p1pq1n2/1pn2p2/8/3PPB2/2P5/P3NK2/6RQ b - - 3 19",-178,-81,-87,-77
"5Rn1/1p1k3p/6p1/8/8/5K2/p4PPP/2B5 b - - 0 35",457,336,365,392
"2B5/2p5/1p6/p2k4/P2B1n1P/1P6/5P2/2b2K2 w - - 2 52",216,202,261,252
"r3kb1r/1ppb1q2/2n2npp/p3p3/4N2P/2PPBP2/PP6/R2QKBNR b kq - 3 10",218,111,68,65
"8/5k2/8/n2K2b1/8/5N2/8/8 b - - 1 58",25,276,271,269
"8/1k5r/p7/p7/8/8/1B1KN3/8 b - - 1 47",16,92,98,113
"1k4rr/1pN5/p7/q2ppQ1p/4n3/b3P1PP/2R1B1K1/1R6 b - - 0 25",210,346,395,324
"r1q3k1/1p3rpp/p2p4/2nPp1b1/P3Pn2/R3BP2/1P1NN3/3K1Q1R b - - 5 19",203,76,112,85
"7k/6pp/2nP4/2K2P2/8/8/7P/8 b - - 2 54",127,-42,-74,-24
"1k6/3B4/8/4p3/4p3/2b1Pb2/3N4/4K3 b - - 69 76",46,166,171,161
"rb3Q2/1p1q3k/4p3/3p2p1/p2pb3/B3P2P/2r2PP1/R5KR w - - 2 28",-262,-515,-505,-608
"2k5/2p5/3r1n2/7p/Q7/P4q2/1P6/K5R1 w - - 15 55",-475,-296,-311,-309
"R2b4/3k4/1p4p1/3K3p/8/4B2p/2r5/5R2 w - - 5 35",383,9,27,26
"8/1p3k2/2nRb1p1/pBp3Pr/4PB1p/b4P1P/P3N1K1/8 b - - 5 27",-21,103,57,46
"r1b2r1k/1p4pp/p7/2PQN3/4p3/q6P/6PK/1R2R3 b - - 1 23",-215,132,71,71
"rn2k2r/pp1q2pp/3p1n2/2p2p2/3p1P2/PR2PN2/P1PB2PP/3QK2R w Kkq - 0 9",-60,13,34,31
"r1bk3r/ppp2pb1/5nn1/6Bp/4P3/P1p5/1PP2PP1/R3KBNR w Q - 0 12",-300,-161,-175,-170
"r2q1r1k/4b1pp/2p2p2/2n5/p2pP3/3P1N2/1PQB1PPP/R4RK1 w - - 1 18",124,41,-12,-1
"rn1qr1k1/1ppb1p1p/3p2pb/p4p2/2PP1N2/1PNBn3/P5PP/R1BQ1RK1 w - - 0 9",-356,-44,-38,-28
"r1bqkb1Q/p1p5/4p1p1/8/Np2p3/5n2/PPP2PKP/R1B2R2 b q - 3 12",187,79,102,62
"2kr1b1r/pppbq3/2n4p/3Bpp2/3P3R/4P1P1/PPQBNP2/R3K3 w Q - 1 12",178,143,95,157
"r3k2r/1b3pp1/1Np1p1q1/pPPpPn2/8/b3BBPp/4QP1P/1R3RK1 b kq - 1 16",8,29,-17,-16
"2bN2nr/7p/p4k2/1p6/5bp1/6P1/PP3K1P/3R3R b - - 0 26",299,215,217,239
"2r3k1/4bp1p/1p2p1p1/p3P1P1/q2BBP2/Pb2P3/3Q3P/R5K1 w - - 6 27",-168,111,85,72
"r3kb1r/3n1ppp/4pn2/1P6/pp1PpB1P/8/1P1NNPP1/R3K2R w Qkq - 0 13",-224,2,5,-67
"8/1P1b1pk1/Q3n1p1/4q3/P3P3/1r1p4/5PPP/R4RK1 w - - 0 30",55,146,92,144
"3rr3/2pk1bp1/2n3Np/p1P1pp1P/P7/6P1/pR2PK2/B6R w - - 6 24",-346,-157,-236,-240
"4Qb1r/2pq2pp/p1n2k2/1p6/1P1p1p2/P1N2P2/1BP3PP/2KRR3 b - - 0 18",-509,-261,-398,-423
"2kr3r/ppN2pp1/2p1bn1p/2b5/4P3/1P3n1P/PBPQB1P1/2KR3R b - - 0 11",218,99,124,124
"r2q1rk1/pppnppbp/6p1/6B1/1n2PN2/7P/1P1N1QP1/3R1RK1 w - - 1 15",-153,-198,-227,-223
"7r/1p2kp1p/2n1b1p1/1Nn5/2P3P1/2P3KP/4B3/R3R3 b - - 2 24",-214,13,9,2
"8/5p1k/5Qp1/3q3p/7P/6PK/7R/1r6 b - - 15 59",364,249,302,329
"2r2k2/4n1p1/1p6/1QbP1P2/1p2P3/8/P3K1Bq/2R1B3 w - - 1 29",-425,-173,-199,-181
"8/8/8/8/8/p2PK3/2k5/B7 b - - 5 59",-322,-151,-170,-229
"2r1r1k1/p6p/Q1B1p3/8/3q3b/B6P/P1K3P1/1R6 b - - 2 26",625,744,819,1038
"1r1k4/1bR5/8/R3P3/Pp3pP1/3B4/n4KPP/8 w - - 3 35",648,579,580,594
"4kbQ1/8/p4p2/1p2p3/1P4bq/2P5/P2RN1K1/8 b - - 12 42",95,89,112,96
"r1b2rk1/ppb1n1pp/3P4/2p5/4q3/2P1N1PP/PP2Q3/R1B1KBR1 b Q - 0 14",53,32,11,-2
"1r3k2/1p3p2/2b5/p1r4p/2Bp4/R4P2/5KPP/4R3 w - - 2 37",-431,-267,-289,-252
"r3k1nr/3b1pp1/pqn1p2p/3pP3/N7/p5P1/1PPN1P1P/R2QKB1R b kq - 0 12",205,67,51,65
"4r1k1/1p3p1p/2p3p1/5b2/p4P2/P2q3P/1P1Q1PB1/2R3K1 w - - 0 20",-178,-155,-184,-141
"1r3rk1/pbqp1pp1/4p3/2pn3p/2B1N1nP/PP3N2/2KB2P1/R3Q2R w - - 3 20",-159,96,81,67
"2b1qk1r/1p3npp/3b1p2/Q2N3P/2Pp4/1P3PP1/1P4K1/4R3 b - - 4 21",406,373,373,443
"8/7k/1BP5/8/8/2P2R2/5K2/3r1N1r w - - 1 44",443,494,529,539
"7r/p1k5/5RN1/7p/P3PK2/8/8/4n3 b - - 15 45",-43,-27,-56,-86
"rnb1kb2/pp3p2/1q1pp3/2p3p1/2PP4/2N3P1/PP2PP2/R2QK1NB w Qq - 1 9",51,-34,-38,-62
"Q1b1k2r/2pp2pp/3bp2q/p3N3/3P2p1/4n1BP/PPP1PK2/RN5R w k - 1 13",610,15000,15000,15000
"r6r/p1pnk1p1/5p1p/4p3/P3N1P1/2P1B3/2K2P2/3R3R b - - 3 19",-387,-155,-138,-119
"r1bqk2r/1pp3pp/3p4/p3n3/2P3P1/2P5/P3PPB1/R1BQK2R w KQkq - 0 9",110,45,76,53
"r1bq1rk1/1p3ppp/3b1B2/p1p5/7Q/2pB1P1P/PPP2P2/R3K2R b - - 0 13",341,127,281,263
"1Q1R4/4k3/p2b2q1/p2p4/P2P2P1/5P2/2b1r3/R5K1 w - - 4 32",54,2,-36,-12
"8/2p3p1/1b4k1/3pp2p/3Pb1nP/1NP3P1/3Br3/R4BK1 b - - 3 29",665,347,380,310
"r1b1k2r/p1p2ppp/1p2p3/2np4/P2PPQ1q/5P1P/1PP3P1/RNBK1B1R b kq - 0 9",-595,-256,-228,-257
"1k1r2r1/pbppbpp1/1p2p3/3Pq3/2P1P3/P1NQ4/1PK1B1P1/R6R w - - 4 14",-135,42,42,-44
"6k1/8/r5p1/7p/1p3P1P/1Nn4R/4pKP1/3rR3 b - - 0 37",490,380,326,350
"r1bq1rk1/3n1pp1/p1pb4/4p1Np/p2PP3/3B4/2P1QPPP/1RB2RK1 b - - 1 11",-9,243,185,169
"r3k2r/pp2qpp1/2n1b3/2Q5/3Pp3/7P/PPPB4/2KR1B1R w kq - 3 17",34,-39,-52,-52
"r1bqk2r/pp3p2/2n5/2N1p2p/3p1P1N/BP4n1/2QP2P1/R3KB2 w Qkq - 4 16",-194,-318,-286,-328
"8/2kb2p1/p6p/2K5/7P/6P1/P7/8 b - - 1 52",607,424,426,458
"2b2rk1/Q3ppbp/6pn/8/8/1P1P4/P2KBPPP/q1B4R b - - 0 15",593,247,221,216
"2q1kb1r/pb1p1pp1/1p2p3/6Pp/Pn2PP1n/NP4R1/1B1P1N1P/3QKB2 b k - 2 13",16,137,84,94
"2kr1b1r/pbp1qpp1/1p2pn2/6Q1/2PPp3/1PN1P1NP/PB3P2/2KR3R w - - 5 12",26,34,15,39
"2b1kb1r/1pp1n1pp/2nq1p2/r7/p7/P1N1BN2/1PQ2PPP/3RKB1R b Kk - 1 9",-273,6,11,-4
"5b2/1p1k1p2/2p1b1pr/7P/P2B1P1q/3P2N1/6QP/R5K1 w - - 1 26",138,60,54,21
"6k1/3r1p2/pq4b1/3B2Q1/2p5/P7/1P6/2K5 w - - 0 30",-544,-344,-431,-431
"5r1k/8/pp2R1p1/2pPn3/4Pq2/2N4P/1P2Q1K1/8 w - - 0 39",-166,57,60,48
"r2q1rk1/1b2ppbp/1ppp1np1/p7/Pn1PP3/1NN1B1PP/1PP2PB1/R2QR1K1 w - - 6 10",45,98,91,105
"8/8/3p1kp1/2p3R1/5BK1/r7/5P2/8 b - - 23 46",-144,-52,-56,-51
"r2nqrk1/1bppb1pp/4pn2/1p3p2/3P3P/2PBPN2/3NQPP1/R1B1K2R w K - 0 12",-77,62,6,-57
"1R2nk2/6pp/3N4/5P2/8/5K2/8/4r3 b - - 22 52",-56,-29,-29,-24
"r1bqk3/ppp3bQ/2n5/4p1p1/3P4/2N1PP2/PP4P1/R1B1K1N1 b Qq - 0 12",-157,-142,-157,-152
"r1b4k/2p3b1/p1n2qpp/2Nr1p2/3P1N2/1P2pPP1/PB5P/2RQR1K1 b - - 1 20",-160,-40,-66,-58
"8/8/3k4/p5p1/n2KB3/6P1/P7/8 w - - 1 41",70,34,49,37
"5Q2/3k4/4b2p/1p4P1/8/1nP1B1P1/p3P1B1/3K4 b - - 0 37",15000,15000,15000,15000
"1r4k1/p1b2rp1/b1p2p2/p1Pq4/3P1P1p/1PB4P/P1Q1N3/2K3RR b - - 0 19",457,181,177,218
"8/1pR5/p4k2/3K1b1p/1P3P2/2P5/P1r3PP/4rB1R b - - 0 29",152,-82,-82,-72
"r4r1k/1p4bp/2p2qp1/3npb2/2N5/1PP2PP1/P3QBBP/R3K2R w KQ - 6 18",-40,44,64,62
"3q2k1/4br2/7p/p2p1b2/1n6/1PB1PP1P/1Q4P1/R2R2K1 w - - 3 24",153,198,196,196
"5b1r/p1pk3p/1p4p1/5p2/2N2P2/4BK1P/PPP3P1/R7 w - - 2 19",564,415,380,394
"1bk5/8/P7/P7/4Kp2/2P5/3B2r1/1R6 w - - 7 47",419,478,627,597
"1k1r3r/1pqbnpb1/p1npp1p1/2p5/2P1PB1p/2NP1N1P/PP1QBPP1/1R3RK1 w - - 6 12",133,21,52,-10
"2R3bk/4q1bp/5p2/2p2P1P/3pNB2/3P1Q1K/r7/8 b - - 0 40",-129,-117,-11,-5
"2r1kb1r/p3pppp/p1pp4/6qP/3N4/1P2PQ2/P1PN2P1/4K2R w Kk - 2 16",-57,-179,-171,-219
"k7/7R/p7/P3r3/8/KP6/8/8 w - - 6 53",6,233,228,233
"2r2q2/4k3/p2ppnQp/R7/1nP4r/2N2P2/1P2BP1P/4K1R1 w - - 6 25",131,253,259,220
"r1b1k1nr/ppp2p2/n1q3p1/4P3/1bP5/3PPN2/P3K1Bp/R1BQ3R w kq - 0 12",-290,-252,-266,-226
"5Q2/1p1r1p2/p5q1/6k1/3P2b1/2P4R/4r1RK/8 b - - 13 32",511,950,944,986
"2k2b1r/ppp1qpp1/2n2n1p/8/P6P/2BrPN2/1P3PP1/RNQ1K2R w KQ - 0 9",18,97,62,71
"2r1rbk1/B2b1p2/2q3p1/7Q/P4N2/6P1/5P2/R2R2K1 w - - 0 24",27,74,74,89
"r1bnkbnr/pp3pp1/2p5/4N3/4PP2/PPN4p/R1P4P/2B1KB1R w Kkq - 0 10",57,-83,-67,-67
"2k4r/p1p3p1/1bn2p2/3b3r/QPNp2q1/3P1NP1/3BPPB1/2R3K1 w - - 1 22",254,30,27,44
"r5k1/8/7p/8/p3R3/2r5/5PPP/1R4K1 b - - 0 39",46,-43,25,14
"8/2K2k2/2P5/1r6/8/1P2R3/2r5/8 w - - 41 67",-152,-148,-155,-194
"8/4k3/8/7r/5p2/8/5K2/R7 w - - 2 72",20,-56,-58,-17
"8/5p2/k3r3/p5p1/R1P3P1/5KP1/8/8 w - - 9 50",-12,-41,-45,-40
"8/8/3K4/1p5k/1P5P/8/8/8 w - - 0 65",695,304,330,534
"1r1q1rk1/p1ppbppp/2nn4/3Q2P1/P4B2/2P4N/3N1P1P/R3R1K1 b - - 0 12",115,29,43,51
"7k/6p1/3N1b1p/2B2P1P/p3B1P1/P3K3/br6/8 w - - 1 43",-247,-48,-65,-47
"1r1qkb1r/4n1pp/p7/5b2/3P1N1P/2Qp4/PP3PP1/R1B1K2R w k - 0 16",-331,95,91,48
"3rkr2/pbq1n1p1/1Pp1Bp1p/3pp3/4P2P/1QP1NPP1/3R2K1/R7 b - - 0 19",-15,201,208,169
"1rbq3r/p3nkp1/3p1p1p/3p4/P2n3P/B2B1P2/2Q2KP1/R5NR w - - 0 13",-203,-223,-235,-219
"4r3/6kp/1P3bp1/3Q4/3P3q/2B4b/1R3PBP/7K b - - 0 34",-119,-375,-383,-359
"4r3/6k1/2p2p2/p1Pp4/Pp1r2nP/1P2P1P1/3BR1N1/1K6 w - - 0 55",-316,-142,-142,-121
"8/8/r7/5k2/6Rp/3K3P/8/8 b - - 3 56",9,196,173,180
"8/5p2/3np3/2kp4/1p5r/2NB4/2PP4/2K2R2 w - - 0 32",93,48,48,31
"8/5k2/8/6p1/7P/8/4RK2/2r5 w - - 2 60",14,38,38,27
"2kr1b1r/pppbn3/2n5/3p1pqp/3PpN1N/1P2P1PP/P1P5/R1BQKBR1 w Q - 4 10",-20,-17,-18,-22
"4k2r/p2bP3/8/2N5/6pp/5r2/PP1R4/2K1R3 w - - 0 39",573,536,730,877
"r2q1rbk/pp2n1pp/2nb1p2/3P4/3P4/1NN2B2/PB4PP/R2Q1RK1 b - - 0 15",119,-54,-32,-30
"8/3k4/2b2B2/8/1p2P3/b3R3/8/1K6 b - - 2 50",-42,-163,-131,-137
"r2qk2r/1b2ppbp/pnpn2p1/Pp1pN3/1P1P1P2/2PBP3/6PP/RNBQ1RK1 b kq - 0 9",36,46,47,38
"r1b2rk1/1pq1bppp/5n2/pBn1p3/N3P3/P4PP1/1BPQN2P/R3K2R b KQ - 2 12",228,44,50,54
"r1bq1rk1/1pp5/p4n1b/3P1p1p/2P1p3/1P1QP2R/P1N1B1PN/2KR4 w - - 0 16",-161,-130,-130,-125
"r2kbR2/ppq5/3p4/n6r/2P1PNp1/2PB2Q1/P2K3P/1R6 b - - 5 23",-285,-254,-200,-220
"8/7k/5Q2/8/6PK/8/3q1P2/8 w - - 15 54",358,368,348,352
"r1bqkn2/1p2b1Qr/p3pp2/3p4/2PP3p/1P4P1/P2N1PB1/R1B1R1K1 w q - 1 15",83,106,89,75
"7r/p1Q5/N2Pbpk1/1P2r3/7p/6p1/3P4/2R3K1 w - - 3 35",181,455,352,448
"1n3b2/3p2k1/r1b1r2p/p6Q/1pPp4/8/PP1N1PPP/5RK1 w - - 9 27",-33,-50,-81,-59
"2k4r/p1p1r3/2p2p1p/3b2pN/7n/1P1N3P/P4P2/R4KR1 b - - 5 26",514,273,264,271
"8/1p6/2pk4/P7/6b1/2P1B2p/2B4K/8 w - - 5 46",340,261,246,251
"5kn1/ppq3p1/2r2p2/3p3p/Pb4b1/1P1BPN2/1Q2KPPP/7R w - - 0 21",-490,-254,-329,-334
"8/2bB1k2/7p/4p1pP/1pb1P1P1/1N6/1BP5/1K6 w - - 3 36",393,360,375,353
"8/2k5/6b1/6P1/P2p4/8/2BK4/8 b - - 3 48",-356,-202,-243,-256
"r2q1k2/3p2bp/p5pn/8/R1Pp4/1P1N4/4BPPP/4K2R w - - 1 19",-495,-74,-113,-149
"r1b1kb2/pp2p1pr/1npq1nN1/5p2/P1BPp3/6R1/1PP2P1P/1NBQK2R w Kq - 10 10",-64,-189,-139,-123
"r1b2rk1/ppq1bppp/8/8/1PN1PPnP/5N2/P2BQ3/2R1KB1R b K - 2 12",-178,-261,-219,-232
"2r3k1/6pp/1p1Bbp2/3p4/p7/P3PPK1/1Pr3PP/1R5R b - - 5 29",36,123,119,112
"5r1k/1Rb1r2p/5q2/p6p/2PR2P1/2Q2p1K/PP3P1P/8 w - - 0 30",-444,-167,-154,-112
"2k1r3/7p/pp1r1ppP/8/Pn5Q/1bN2P2/1P6/1K5R b - - 1 27",60,143,163,169
"3k4/7p/rp1P1p2/1R6/4p3/bB2P2P/1r6/K2R4 w - - 1 31",-107,-68,-89,-60
"r2k1b1r/pb1p1n1p/1pp1q3/P7/3Q4/RPP2P2/1K6/1NB2BR1 b - - 0 16",125,230,208,206
"4kb1r/r2b1ppp/p3p3/2p5/1nP2B2/3P2P1/1q2B2P/1R1QK2R b k - 1 17",363,386,364,430
"1R6/5p2/4p2p/k2pP2P/2bP4/5P2/7r/2K5 w - - 6 62",-396,-381,-377,-455
"8/3R4/5r1p/R3pk2/5n1P/3p4/5P1P/5K2 b - - 3 31",44,7,-47,-23
"1nbq1rk1/r3bppp/p4n2/2pp4/3P4/1PPB1N1P/R4PP1/1NBQ1RK1 b - - 0 10",-25,36,41,13
"8/2R2pk1/6p1/7p/7P/6PN/rr3PK1/8 w - - 27 50",-65,-175,-220,-207
"2bk4/4n3/pp1N4/2p5/5nB1/2P5/PP2R3/2K5 w - - 3 42",415,262,257,230
"2b1k3/p4pb1/3Bn1q1/3p4/1p1r4/1P2N3/P2N3P/3QR2K w - - 6 25",-143,-5,-16,-44
"3k1r2/qpp4p/3p1pbb/P3n1p1/1PP3P1/3N3P/1B1N1P2/R2K1B1R w - - 1 21",-187,93,12,2
"Q1rk4/3n4/3b4/6q1/1p1PR3/6N1/P5K1/8 w - - 8 54",-477,-509,-566,-535
"r3k2r/p1qnppb1/b2p1np1/2pP2B1/2N1P1p1/P1NB4/1PP2P1P/R2QK2R w KQkq - 4 9",-136,-32,-9,-44
"k7/2b1nQ2/3p3R/2p1p3/2P5/p2qP3/P4P2/2K5 b - - 5 42",138,170,331,331
"8/5npk/4N3/3q4/p6P/4Q1P1/5P1K/8 w - - 16 54",39,131,119,105
"7k/bpp4p/5N2/p4P2/P5P1/2P1p3/1P1r3P/2KB4 w - - 1 33",-430,-165,-186,-166
"r2qkbr1/1pp2p2/p1n1b3/3pp3/8/2NPBN1B/PPP1PP1P/R2QK2R b KQq - 0 9",92,-125,-95,-91
"4r1k1/pp4p1/2n3B1/7r/4p3/1P6/PBP5/3RK3 w - - 0 24",557,127,115,124
"8/2r1k2p/1bB5/4pp2/1P5P/1N4P1/5P2/1R4K1 b - - 0 34",3,-43,-20,-9
"r3r1k1/1pp2pb1/p1n2qp1/3Npb1p/2P5/3PP1P1/PB3PBP/R2Q1RK1 b - - 3 12",-14,-39,-39,-84
"6k1/8/6p1/P1Q4p/5P1P/8/1q2BK2/8 b - - 0 37",-514,-567,-624,-610
"3r2k1/1p2qpp1/p1n4p/P1bb1P2/4p1PP/2B1P2K/1P2B3/2RQ1R2 w - - 4 24",93,52,57,61
"8/8/8/7n/8/1K2k3/8/1N6 w - - 1 72",18,-7,-3,-8
"2k3r1/1q1r4/npp1pp2/3p1p2/P2PnB1p/1Q1N3P/1R4P1/2R3K1 w - - 2 22",276,-65,2,5
"3r2r1/pp3nkp/8/2B5/2PN3P/1P5b/P7/1K2R3 w - - 1 28",-321,-289,-256,-232
"1r1q1rk1/1b1n1pp1/p6p/1pp1P3/3p1PB1/P2P4/2QN2PP/R4RK1 b - - 2 14",129,-12,29,46
"3r4/6rk/3b1p2/p1p2P1p/P1B1K3/1PR1B2P/8/8 b - - 6 32",338,112,176,151
"r1b1kb1r/pp4p1/2n1pn1p/3p1p2/3P1B1P/1qP1P2N/2N2PP1/R2QKB1R w KQkq - 0 9",-38,-173,-178,-185
"6r1/1P1Q4/3pPk2/8/7P/pP3p2/4p1rP/2R1R2K w - - 2 46",806,1311,1428,1482
"7R/1pR5/2b1p2P/3pP3/p1kP4/P7/2r4r/1KB5 b - - 1 40",421,83,122,127
"8/5k2/R5pp/P3pp2/2r5/P7/6KP/8 b - - 0 35",323,82,108,117
"2rk1b2/q3r2p/2p3p1/2N2p2/PP1PBP1P/3Q2P1/1B6/R4K2 b - - 0 30",-238,-55,-86,-126
"r2q1rk1/5ppp/pp1bp3/6P1/2pNnP1P/4P3/PBQP4/R3K2R b Q - 1 15",134,138,50,50
"8/R7/3n3p/1p6/p3k3/4P3/4K2P/8 w - - 6 49",184,44,25,25
"2rq1rk1/1b1n1pbp/p3p1p1/1p6/3PBN2/1P4P1/PBP1QP1P/R4RK1 b - - 0 12",-54,-59,-36,-70
"r1bqkb1r/1p2npp1/p1p1n3/3p3p/7P/2NP2P1/PPP1NPB1/R1BQK2R w KQ - 0 9",-19,19,54,52
"r3k1nr/1ppb2pp/p7/P1b1Pp2/2PP4/7P/2N1B1P1/R1B1K2R b - - 0 20",-358,-100,-108,-104
"3r2k1/p4pb1/4pnp1/4N3/P1pP1P2/1rN3PP/1n4K1/R1B2R2 b - - 0 24",247,180,166,202
"r1bq1rk1/pp2nppp/2nb3P/PB1p4/1P1Pp3/2P5/5PP1/RNBQK1NR b KQ - 0 9",170,-19,26,15
"r4k1r/1pp2pbp/3p2n1/pN1P4/4nP1p/4B2B/PP3P2/R3K2R b KQ - 1 14",95,71,106,106
"3r1rk1/1ppq2pp/p1nb1n2/2P5/1P2p3/P1Bb1NP1/3N1PB1/R2QR1K1 w - - 0 15",108,50,50,50
"r3k2r/1ppbn2p/p1nq2p1/5p2/5N2/1PQ3N1/PKPp2PP/3R1B1R b kq - 2 14",238,233,182,182
"5rk1/5pp1/7p/qrp5/1nQp1b1P/1P3RP1/1B1P1N2/2K1R3 b - - 1 21",268,159,159,115
"2B5/8/2p2k2/2P2Pp1/3n3r/5P2/6Kp/7R b - - 5 44",154,48,51,76
"r1b2rk1/1pb2p2/2p2n1p/p1n5/2B2PpP/P1N1P1N1/1P1B2P1/R2K3R w - - 3 13",-105,-119,-35,-51
"8/pk1b4/1p1p1Q2/3P4/1q4p1/8/P4Pp1/K5R1 b - - 1 32",210,128,177,289
"6n1/3r2k1/RR3p2/6p1/7p/7P/5PPK/8 b - - 5 30",-217,-165,-185,-166
"r3k2r/p1ppbpp1/bp1qp1n1/7p/2PPP3/PB2QN1P/1B3PP1/R3R1K1 w kq - 2 16",168,110,101,119
"3q1r2/1p1nk3/r7/P1p2PN1/1p1p1Q1P/2nP4/2P3R1/R5K1 b - - 0 25",-90,176,167,93
"2k5/8/8/1B6/PP6/8/1K6/3r4 b - - 6 52",0,-79,-72,-111
"4q1k1/2Q2pr1/7p/3p2P1/P6P/4PR2/2pr2PK/5R2 w - - 0 31",-5,102,102,5
"r2qk1nr/p2bp3/Q4p2/7p/1Pp1P2R/2N1p3/P4PP1/R3KB2 w Qkq - 0 12",109,46,39,69
"4r1k1/4R1pp/5p2/3p1P1Q/2pn2N1/2q1B3/6PP/5RK1 b - - 0 24",-157,-162,-194,-125
"r1bqk2r/ppp3bp/2n1P1p1/1B2n3/4N2P/P2p4/1PPPQPP1/R1B1K1NR w KQkq - 0 9",-109,204,169,169
"r2qk1nr/1pp2ppp/p1nb4/3N4/2p4P/6P1/PP2PP2/RNBQ1RK1 w - - 1 10",-47,-85,-75,-70
"3k2r1/1p1bn2p/5B2/8/2B1P2P/1p6/r4P2/2R1K2R w K - 0 25",449,370,388,403
"4r1k1/1qb2p2/3p2p1/1P1R3p/2B1P3/2P4P/4QPP1/6K1 w - - 0 34",293,266,284,335
"7k/2r4p/2q2p2/8/6Q1/1N4P1/1K3P1P/8 w - - 4 34",-286,-121,-134,-132
"r1b3k1/p3r1pp/1p6/2pn1N2/3p3b/3P1B1P/PPPB1PPq/R2K3R w - - 0 17",439,333,373,384
"1Q6/p3N3/k2p4/6rp/8/P3p3/1P2P2K/5q2 w - - 2 41",131,94,15000,15000
"8/1r4k1/R6p/6p1/5P2/6PK/8/8 w - - 3 46",50,84,76,63
"r2k2r1/1bppq3/1b5Q/3PP3/4PP2/p2B2P1/3NK2P/B6R w - - 0 24",260,141,139,117
"1r6/3rqk2/P1Q5/1P3ppN/8/4P1P1/3p1P2/1R4K1 w - - 0 43",82,92,90,99
"r1bq1rk1/3nbppp/8/1p1n4/p1p5/4PP2/PBNPBNPP/R2QK2R b KQ - 1 14",235,217,219,179
"r4rk1/pp4p1/2p1pn2/7p/1P1n1P1P/P1N2P2/1B3K2/3R3R b - - 1 15",101,222,211,241
"5k2/8/4p2p/1P5p/4B2P/3Q3K/8/6q1 w - - 6 57",504,403,398,394
"5k2/6p1/4Q2p/2q4P/7P/2p5/6K1/8 w - - 2 62",-304,-377,-479,-480
"8/1R6/3p1k2/6p1/4rb1p/p6P/P4KP1/5N2 b - - 4 49",314,366,356,293
"5Q2/6pk/p1P1b2p/4Np2/P2p1P2/B5P1/1KPn3P/7q w - - 0 27",-559,-725,-780,-1047
"r4bn1/pp1k2p1/8/np3bNr/2PPPB1P/P7/8/R3KB1R w KQ - 0 19",159,102,53,87
"5kr1/4rp2/pp1PQ2p/2p5/2P5/3P4/3b2P1/5R1K w - - 0 40",1155,15000,15000,15000
"8/p1k5/8/8/4p1p1/P3P1P1/5P2/2n2K2 b - - 1 44",552,372,377,461
"r2qkb1r/1pp1npp1/p1n1b2p/4p3/3pP3/P2P1N1P/1PPN1PP1/R1BQKB1R w KQ - 4 9",9,-79,6,-79
"r3kbnr/2pb1ppp/p2q4/n7/PpBPP3/5N2/1P4PP/RNBQK2R w KQkq - 2 9",154,59,72,30
"r4rk1/pp2qnpp/8/5p2/P4n2/4pN1P/Q5PK/2R2B1R w - - 0 19",-337,-398,-400,-419
"r6r/1pp3p1/2nb1k2/3bp1Np/p7/P2BB1PP/1P3P2/2KR2R1 w - - 4 24",19,-48,-49,-54
"8/8/8/3kp3/1b3r2/8/2R5/7K w - - 0 51",-432,-502,-519,-534
"8/1p6/2p1b3/P1P3B1/8/5BKp/1k6/8 w - - 17 59",225,205,210,218
"5rk1/4r3/p1p1b1pp/1p1nPpN1/1Pq5/2P4P/P3R1PK/4QR2 w - - 0 24",-397,-227,-262,-292
"r3r1k1/2pb2b1/p7/2pq2Pp/3ppB1N/7P/PPP1QP2/3RK1R1 w - - 0 19",-107,-105,-121,-85
"r1bqk1nr/6pp/2pbpp2/p7/P1P2PP1/5N2/1PP1QK1P/RNB4R b - - 0 9",-23,-65,-51,-73
"2kr2br/pp5p/1qn5/3np1N1/3p2P1/P4N1P/P1PBQP2/2KR1B1R w - - 1 14",240,245,275,238
"5r2/7R/3Q2p1/3B1k1p/3qr2P/6P1/5P2/6K1 b - - 3 35",-223,-183,-208,-275
"r4r1k/p4pp1/q6n/3pN2P/bRpPp2P/2P5/P3BP2/2Q1K1R1 b - - 3 22",58,38,42,28
"r2r2k1/2pn4/p3bppB/np2p3/4PPP1/2P4N/P1K5/R4B1R b - - 0 17",169,156,156,208
"8/8/4k3/8/2b2p2/8/5N2/4K3 w - - 14 56",-4,-193,-205,-213
"4r1k1/2p2p1p/p5pb/2P5/P2Pq3/2Q1B3/4K2P/1R5R w - - 2 25",-379,92,-3,-103
"3r2k1/p4qp1/2Q2n1p/2P2p1P/5n2/P4N2/5PP1/R3R1K1 w - - 1 28",280,274,228,277
"5rk1/p1p1r1p1/3p1p1p/p2P4/2P3qP/1PB1pRP1/4Q3/5K2 b - - 1 21",518,493,432,451
