fen,static_cp,search_cp,bestmove,class,pieces,gap_sigmoid,gap_cp,clamped
8/r5k1/1p1R2p1/7p/1PP4P/5BP1/2q2PK1/b3Q3 b - - 14 35,-469.0,-347.0,c2c4,capture,16,0.056480,122.0,0
3k4/p4p2/8/7Q/3B4/2P1Kp2/q7/8 b - - 4 38,-125.0,-114.0,a2e2,quiet,9,0.014095,11.0,0
2k5/p1p4p/1pb5/8/7B/P2P3P/P1PK4/4RBrn w - - 2 21,262.0,147.0,f1e2,quiet,17,0.119024,115.0,0
5r2/2k2Np1/2p4p/p4R2/P2P4/6b1/2r5/4R2K w - - 0 29,-151.0,-247.0,e1e7,quiet,14,0.101043,96.0,0
3qr1kb/5p1p/b1n3pP/p1p1n1P1/1p1p1B2/3P1P2/PPP1N1B1/R2Q1RK1 w - - 0 20,232.0,153.0,f1f2,quiet,28,0.084774,79.0,0
5r2/2k3p1/p3p3/3b2n1/1R1P3R/8/2P3B1/3K4 w - - 0 31,92.0,99.0,g2d5,capture,13,0.009349,7.0,0
7k/bpp4p/5N2/p4P2/P5P1/2P1p3/1P1r3P/2KB4 w - - 1 33,69.0,-169.0,h2h3,quiet,17,0.323699,238.0,0
1k1r4/p7/5p2/3n1q1p/PP6/3N2R1/1P4BP/4R1K1 b - - 2 31,83.0,-10.0,d5b4,capture,16,0.131612,93.0,0
8/5k2/8/6p1/7P/8/4RK2/2r5 w - - 2 60,-13.0,20.0,h4g5,capture,6,0.047450,33.0,0
8/4kp1p/r1pN4/4P3/3PKPP1/8/1r5P/2R5 b - - 0 30,-58.0,-102.0,f7f6,quiet,14,0.060011,44.0,0
1R6/8/2K5/6r1/8/p1k5/8/8 w - - 2 50,-453.0,-427.0,b8a8,quiet,5,0.010209,26.0,0
r7/pppk1p2/2n1b3/2bp1p1r/3P1p2/2P2N1B/PP2PK2/R6R w - - 0 17,-250.0,-171.0,d4c5,capture,23,0.080346,79.0,0
6k1/6p1/2p2r2/2Qb4/3Pp1qp/4R3/5P1P/Q3KR2 w - - 13 49,458.0,903.0,a1a8,quiet,16,0.061332,445.0,0
2kr2nr/pppbqpb1/6p1/4p2p/2PnP3/PP3N2/1BQPBNPP/R4RK1 w - - 1 12,-139.0,-159.0,c2d3,quiet,30,0.024073,20.0,0
r2qk2r/ppp5/2np2np/5b2/P1PPNp2/P1N2PP1/5K1P/2BQ1B1R w - - 1 15,101.0,96.0,d1d3,quiet,27,0.006647,5.0,0
8/5Rpk/8/p5pP/r3r3/4BK2/5P2/8 w - - 0 55,-414.0,-320.0,f7f5,quiet,11,0.052342,94.0,0
4rrk1/p2n2p1/3p1q2/1ppP1p1P/5P2/PP1QPB2/8/2RK2R1 b - - 1 26,-31.0,-30.0,c5c4,quiet,22,0.001428,1.0,0
