fen,static_cp,search_cp,bestmove,class,pieces,gap_sigmoid,gap_cp,clamped
r7/p3q2k/bpp1p2p/n2pPp2/2P1n3/1PB1P1P1/P5BP/2RQR1K1 w - - 1 21,202.0,295.0,g2e4,capture,26,0.083452,93.0,0
2rqk3/1p3pp1/p3pn1r/3P2N1/P4P1p/2N1b2P/2Q1B1P1/B2R3K b - - 1 19,-46.0,-61.0,f6d5,capture,24,0.021080,15.0,0
1r1qk2r/p4p2/4p1p1/2n5/5P2/P1n2NPp/2B2P1P/1R1Q1RK1 w k - 0 19,-98.0,-84.0,b1b8,capture,22,0.018824,14.0,0
r1bq1rk1/1p3ppp/3b1B2/p1p5/7Q/2pB1P1P/PPP2P2/R3K2R b - - 0 13,363.0,261.0,f8e8,quiet,25,0.071950,102.0,0
r7/p2np1b1/2p1k1Np/3n3P/2N1p3/7P/PP1B1P2/R3KB2 b Q - 0 18,-483.0,-371.0,e6f7,quiet,21,0.047286,112.0,0
2bqk3/1p3r1p/4r1p1/p3Bp2/P1Np4/1Q4P1/1PP3P1/5RK1 w - - 5 19,-114.0,-45.0,f1d1,quiet,21,0.094014,69.0,0
1r1q1r1k/2p3pp/4n3/p1p1pN1P/P3bpQ1/2P5/1P3PP1/R3KB1R w K - 0 18,-194.0,-241.0,f5g7,capture,25,0.046776,47.0,0
2k5/2p5/1p1r1p2/2r5/1R1p3p/3P3P/5PB1/R4K2 w - - 6 36,119.0,166.0,a1a8,quiet,15,0.057377,47.0,0
r4rk1/3qnppp/1R2p3/2p1P3/2nP1N2/2P3P1/7P/2BQR1K1 w - - 1 20,-94.0,-56.0,b6b3,quiet,22,0.052170,38.0,0
2r1r1k1/1p3pp1/p6p/8/P1pR4/5PB1/n5PP/1R5K w - - 3 24,-146.0,-195.0,b1b2,quiet,18,0.055895,49.0,0
1B6/5rpk/7p/8/2b4P/6P1/8/R5K1 w - - 29 57,-13.0,-59.0,g1g2,quiet,10,0.065401,46.0,0
3r4/p7/1p6/3p3k/4nP2/8/PP4K1/3R4 w - - 0 33,-244.0,-389.0,g2f3,quiet,11,0.100811,145.0,0
1k6/1p3N2/p1n5/4P3/5P1p/7P/r5r1/2R2R1K w - - 0 29,-150.0,-201.0,f1e1,quiet,14,0.057411,51.0,0
4r3/1b3pk1/1p4p1/1P2qP2/2rNp3/4R2P/5QP1/3R2K1 w - - 3 39,-218.0,-111.0,f5g6,capture,18,0.123628,107.0,0
2kr2br/pp5p/1qn5/3np1N1/3p2P1/P4N1P/P1PBQP2/2KR1B1R w - - 1 14,276.0,266.0,f3e5,capture,26,0.008260,10.0,0
r2qk2r/pp3pp1/5n2/5b1p/1bPp4/3PPNPP/PB1NQ3/R3K2R b KQkq - 0 12,64.0,116.0,e8g8,quiet,26,0.069923,52.0,0
r1k4r/1pn2ppp/4p3/p1bpPPB1/P7/1qPB2PP/4Q3/R3K2R w KQ - 0 17,66.0,-18.0,e1f1,quiet,25,0.119736,84.0,0
1r2qr1k/3pb1pp/R1b1p3/3n1p2/1P1P4/N1P2P1N/2QB2PP/1R4K1 b - - 0 16,65.0,79.0,c6b7,quiet,25,0.019304,14.0,0
