fen,stockfish_eval_cp,stockfish_bestmove,stockfish_depth,B_eval_cp
"8/1b2k3/8/1p3r2/p3n3/2PN4/1P6/1BK1R3 w - - 12 40",6,c3c4,8,134.0
"3qkr2/ppr5/2b2bp1/4p2p/1BBp3P/1P1P4/2P1Q3/1K1RR3 b - - 1 21",-38,b7b5,8,53.0
"br4rk/4q1p1/p3p2p/P1p1Pp1Q/2PNpP2/B3P2P/6PK/5R2 w - - 7 25",-14,g2g4,8,22.0
"1rb1k2r/q1p2p1p/5p2/1p2P3/2p5/1nB2P2/2Q1N1PP/4KB1R w k - 0 19",-368,e2f4,8,-135.0
"r1b1k2r/pp3p2/1qn1p2p/3pPn2/3P4/P4P1R/P2BN1P1/R2QKB2 b kq - 6 12",-15,c6d4,8,-7.0
"5r1k/2p4p/1pq2np1/2b1Q3/1p3pP1/1B3N2/P1P2PKP/5R2 b - - 0 22",83,f8e8,8,50.0
"5k2/5P2/2n1P3/5K2/8/8/8/8 b - - 14 79",-45,c6d8,8,-75.0
"r1bq1rk1/2p3b1/p5p1/3pP3/P1n5/2P1P1Pp/4NN1P/R1BQ1RK1 w - - 1 17",-101,e5e6,8,17.0
"2b2rk1/2qp1pp1/3n1b1p/p1pPN2P/1rP1P3/2NB1PP1/8/R2Q1RK1 w - - 1 19",-96,f3f4,8,170.0
"6Q1/r2np2p/7k/2pNpP2/1pq5/8/P1P4P/1K6 b - - 1 41",261,c4a2,8,717.0
"r6k/p4R1p/8/8/8/6P1/4r2P/1R5K w - - 2 27",19,b1b7,8,106.0
"2k1r3/1r1q4/5Q1p/1P3p2/4p3/N1P1P3/2KP4/2B2B1n w - - 5 25",114,a3c4,8,129.0
"8/1k6/8/4p3/8/6K1/8/8 w - - 0 51",0,g3f3,8,-63.0
"r2qk2r/p3bpp1/3pbn1p/1pp1p3/3nP3/PP1PN1PP/1BPN1PB1/R2QK2R b KQ - 1 11",-64,a8b8,8,-41.0
"r7/6rk/4Q3/p6P/1p2p3/1P2q3/2P3R1/1K6 w - - 0 33",-2,g2g7,8,-193.0
"4k2r/q2n1pp1/3bp3/8/3P3p/2NNKP2/1P4PP/3Q3R b - - 0 18",20,h4h3,8,-161.0
"r1b2rk1/5pbp/p5p1/1p2P3/2PP4/4P3/1R2B1PP/2BR2K1 b - - 0 17",-211,b5c4,8,-9.0
"5Q2/6pk/2q1pn1p/4Pp1P/4RP2/3P1K2/r7/8 b - - 9 45",702,f5e4,8,459.0
"8/5k2/5p2/6pp/p1R5/2B5/6KP/2r5 w - - 5 41",-22,c4c6,8,-44.0
"2r3k1/5R1p/p1b3p1/P5rn/3B4/2Nn2P1/1p2N2P/5RK1 w - - 0 27",-187,h2h3,8,-68.0
"1r1q1r1k/6b1/p7/2p2bpN/P3p3/2P1BnP1/Q4N1P/R4R1K b - - 3 26",241,g7c3,8,284.0
"r3k2r/1b1p2pp/2pb1n2/4nN2/1P2P3/P1N5/2K3BP/1RB4R b kq - 0 19",-78,d6b8,8,-139.0
"7b/4k3/8/r6P/5R2/8/2N1K3/8 w - - 3 56",11,h5h6,8,146.0
"4k2r/1Np1qp2/5n1P/P2Pp3/2p1P1b1/2P2Br1/1P2Q3/R3K2R w KQk - 1 26",315,f3g4,8,194.0
"rq2k2r/p2b1ppp/n7/1Nb5/2P1P2P/8/PP4P1/R1BQKB1R b KQkq - 0 14",448,b8g3,8,30.0
"1k3r2/p1ppq1p1/br6/N3p3/QP2P1P1/5NK1/8/4R3 w - - 1 23",-459,e1c1,8,-418.0
"4k2r/r2n1ppp/p2Bp3/2pb2P1/2N5/7P/P4R2/2K2B2 w - - 1 19",-283,f2f4,8,-182.0
"r5k1/1p1b2pp/1b1B1n2/1NPP3q/nP1NrP2/5R1P/4P1B1/3Q1RK1 b - - 0 23",-347,h5e8,8,-119.0
"4k3/4npp1/p1p5/3p4/6B1/3r4/Pr5P/2R1RK2 b - - 3 22",417,e8f8,8,403.0
"r1bqk2r/1np3p1/1p2pn2/5p1p/2P5/b3PN2/2Q2PPP/RN2KB1R w KQkq - 0 12",-233,a1a3,8,-42.0
