fen,static_cp,search_cp,bestmove,class,pieces,gap_sigmoid,gap_cp,clamped
2rr2k1/2q1bp2/1nB1p1p1/pP5p/P2P1P2/2P3P1/1B2Q2P/R4R1K b - - 7 26,-3.0,-105.0,c7b8,quiet,24,0.142352,102.0,0
5r1k/1p6/2pB3p/2Pp2pN/p2P2n1/P7/1P2R3/2K5 b - - 0 45,-51.0,-118.0,f8f7,quiet,17,0.090702,67.0,0
2r3k1/5pp1/8/pr1p4/3PnP2/R3P1P1/1PP4P/2K1BR2 b - - 1 26,-75.0,-142.0,c8a8,quiet,19,0.087400,67.0,0
r4rk1/1p3pp1/2n5/1R2p3/pn2P2p/Nb1P1NqP/1P1QB1P1/5R1K w - - 2 18,-29.0,-121.0,h1g1,quiet,25,0.125781,92.0,0
6k1/6p1/p6p/Pp3R1P/4p2R/4P1P1/1r1r1P2/5K2 b - - 1 31,41.0,17.0,b2b4,quiet,16,0.034286,24.0,0
8/8/8/p7/P1K1nk2/1P6/3p4/3R4 w - - 4 46,264.0,56.0,b3b4,quiet,8,0.240595,208.0,0
2k1rbnr/1b1p2q1/1ppP1p2/pN1B4/P7/2P2Q2/1P4PP/R1B2RK1 b - - 0 16,-135.0,44.0,c6d5,capture,25,0.248044,179.0,0
1r1r1b2/5pk1/1pq1pn1p/p1p3p1/P1N5/N1PP2P1/1P2QP1P/3RR1K1 w - - 12 22,16.0,4.0,c4e5,quiet,26,0.017253,12.0,0
2r2rk1/p2b2bp/2n1p3/2qp1pB1/8/P1P3P1/2N1PPBP/1R1Q1RK1 w - - 1 16,49.0,70.0,g5e3,quiet,25,0.029344,21.0,0
2r5/1kp5/p1R1p2r/Bp1P4/7b/P3P3/1P2K3/7R w - - 1 28,164.0,187.0,c6e6,capture,16,0.025904,23.0,0
r1bqkb1r/1pp5/p2p1n2/3Pnp1p/2P1p3/NP2P2R/PB1NBPP1/R2QK3 w Qkq - 3 9,95.0,-10.0,d1c2,quiet,30,0.147795,105.0,0
r2qk2r/p3bpp1/3pbn1p/1pp1p3/3nP3/PP1PN1PP/1BPN1PB1/R2QK2R b KQ - 1 11,42.0,63.0,e8d7,quiet,32,0.029533,21.0,0
2b5/8/5k2/2r3p1/3N1p1p/5P2/3R2PK/8 w - - 8 50,-143.0,-170.0,d2b2,quiet,11,0.031920,27.0,0
