fen,static_cp,search_cp,bestmove,class,pieces,gap_sigmoid,gap_cp,clamped
1B6/5rpk/7p/8/2b4P/6P1/8/R5K1 w - - 29 57,-39.0,-31.0,a1a7,quiet,10,0.011396,8.0,0
3r4/p7/1p6/3p3k/4nP2/8/PP4K1/3R4 w - - 0 33,-1113.0,-1286.0,g2f3,quiet,11,0.001038,173.0,0
1k6/1p3N2/p1n5/4P3/5P1p/7P/r5r1/2R2R1K w - - 0 29,-51.0,-515.0,f1d1,quiet,14,0.378076,464.0,0
4r3/1b3pk1/1p4p1/1P2qP2/2rNp3/4R2P/5QP1/3R2K1 w - - 3 39,123.0,193.0,f5g6,capture,18,0.082346,70.0,0
2kr2br/pp5p/1qn5/3np1N1/3p2P1/P4N1P/P1PBQP2/2KR1B1R w - - 1 14,295.0,677.0,e2b5,quiet,26,0.134810,382.0,0
r2qk2r/pp3pp1/5n2/5b1p/1bPp4/3PPNPP/PB1NQ3/R3K2R b KQkq - 0 12,250.0,226.0,d4e3,capture,26,0.022321,24.0,0
r1k4r/1pn2ppp/4p3/p1bpPPB1/P7/1qPB2PP/4Q3/R3K2R w KQ - 0 17,-51.0,-201.0,g5e3,quiet,25,0.187924,150.0,0
1r2qr1k/3pb1pp/R1b1p3/3n1p2/1P1P4/N1P2P1N/2QB2PP/1R4K1 b - - 0 16,-56.0,-119.0,b8a8,quiet,25,0.084958,63.0,0
r1b1r1k1/4qp2/2p2n1p/1Pbpn1pP/p2N4/1PB1PP2/2PQN1P1/1K1R1B1R b - - 1 14,271.0,231.0,c6b5,capture,29,0.035555,40.0,0
r1b3k1/p3r1pp/1p6/2pn1N2/3p3b/3P1B1P/PPPB1PPq/R2K3R w - - 0 17,-1639.0,1455.0,f3d5,capture,26,0.999690,3094.0,0
r1bk3r/2pnq3/1pBp1p2/p2Pp1n1/4Pb1p/P1N2Q1P/1PP2BP1/1K1R2NR w - - 10 14,550.0,436.0,f3e2,quiet,30,0.034709,114.0,0
r3k3/pbpp1prp/4pq2/8/2P1P3/2N2N2/P1nPQP1P/5K1R w q - 1 12,-1527.0,-1685.0,h1g1,quiet,23,0.000091,158.0,0
4r1k1/2pq2p1/1p1p1p2/7r/p2N1B1P/2PQ2K1/P7/6R1 b - - 1 26,518.0,451.0,d7f7,quiet,18,0.021133,67.0,0
2rr2k1/2q1bp2/1nB1p1p1/pP5p/P2P1P2/2P3P1/1B2Q2P/R4R1K b - - 7 26,-616.0,-588.0,c7d6,quiet,24,0.004742,28.0,0
5r1k/1p6/2pB3p/2Pp2pN/p2P2n1/P7/1P2R3/2K5 b - - 0 45,-707.0,-451.0,f8f1,quiet,17,0.052592,256.0,0
2r3k1/5pp1/8/pr1p4/3PnP2/R3P1P1/1PP4P/2K1BR2 b - - 1 26,-604.0,-774.0,c8a8,quiet,19,0.018495,170.0,0
r4rk1/1p3pp1/2n5/1R2p3/pn2P2p/Nb1P1NqP/1P1QB1P1/5R1K w - - 2 18,-108.0,281.0,b5b4,capture,25,0.485064,389.0,0
6k1/6p1/p6p/Pp3R1P/4p2R/4P1P1/1r1r1P2/5K2 b - - 1 31,135.0,-63.0,b2b4,quiet,16,0.274743,198.0,0
8/8/8/p7/P1K1nk2/1P6/3p4/3R4 w - - 4 46,507.0,510.0,b3b4,quiet,8,0.000833,3.0,0
2k1rbnr/1b1p2q1/1ppP1p2/pN1B4/P7/2P2Q2/1P4PP/R1B2RK1 b - - 0 16,-213.0,-65.0,c6d5,capture,25,0.180674,148.0,0
1r1r1b2/5pk1/1pq1pn1p/p1p3p1/P1N5/N1PP2P1/1P2QP1P/3RR1K1 w - - 12 22,214.0,211.0,a3b5,quiet,26,0.003034,3.0,0
2r2rk1/p2b2bp/2n1p3/2qp1pB1/8/P1P3P1/2N1PPBP/1R1Q1RK1 w - - 1 16,235.0,210.0,b1b7,quiet,25,0.024485,25.0,0
2r5/1kp5/p1R1p2r/Bp1P4/7b/P3P3/1P2K3/7R w - - 1 28,352.0,444.0,e3e4,quiet,16,0.044439,92.0,0
r1bqkb1r/1pp5/p2p1n2/3Pnp1p/2P1p3/NP2P2R/PB1NBPP1/R2QK3 w Qkq - 3 9,18.0,55.0,f2f4,quiet,30,0.052616,37.0,0
r2qk2r/p3bpp1/3pbn1p/1pp1p3/3nP3/PP1PN1PP/1BPN1PB1/R2QK2R b KQ - 1 11,-10.0,-75.0,a7a5,quiet,32,0.091901,65.0,0
2b5/8/5k2/2r3p1/3N1p1p/5P2/3R2PK/8 w - - 8 50,-188.0,-168.0,d4e2,quiet,11,0.022375,20.0,0
k1r5/P3Rp2/5q2/p6p/5B2/3Q4/6PK/8 b - - 0 47,-1240.0,388.0,f6e7,capture,12,0.902425,1628.0,0
8/8/1pn2pkP/2p1p3/P7/4BP2/6K1/8 w - - 1 48,-307.0,-257.0,f3f4,quiet,11,0.039630,50.0,0
rb4k1/2p4p/2p1q3/P1PpP1p1/Q2P1p2/P1B5/6PP/5R1K b - - 0 27,-741.0,-819.0,b8a7,quiet,21,0.004965,78.0,0
r4rk1/p2p1pp1/1p1P3p/2p1P3/2Pn1P1q/8/PP1Q3P/2KR1B1R w - - 1 13,138.0,89.0,f1g2,quiet,24,0.063422,49.0,0
r4rk1/1pp2ppp/2n2q2/p2p4/8/1PbQP1PP/PBP5/2KR1B2 w - - 0 14,-1626.0,-701.0,b2c3,capture,24,0.017287,925.0,0
1r5r/p2b1kp1/B7/2R4p/3B1bp1/8/P4P1P/4R1K1 b - - 4 22,65.0,-32.0,b8b4,quiet,17,0.138388,97.0,0
1r5k/p7/6B1/2ppp2P/7B/5r2/P7/6RK w - - 2 34,159.0,59.0,g1g3,quiet,13,0.129978,100.0,0
3b2k1/1p4q1/3Q4/pN1p2p1/Pn1P4/5P2/1P3B2/6K1 b - - 8 37,-193.0,-60.0,d8e7,quiet,16,0.166816,133.0,0
1k1r3r/p2q2p1/bp1pp2p/1N1p4/P4P2/1P6/2PPQ2P/1K1R3B b - - 0 17,553.0,738.0,h8f8,quiet,23,0.025710,185.0,0
r1b2rk1/2q2np1/p2p1nR1/1p2p3/3PP3/4QN2/PPN2P2/2KR1B2 w - - 1 17,235.0,303.0,c1b1,quiet,24,0.056639,68.0,0
4r1k1/3r1pp1/1q5p/3Pp3/p7/1P1Q1PP1/P4RKP/3R4 w - - 0 32,219.0,271.0,b3a4,capture,19,0.047213,52.0,0
8/4b3/1pk5/8/1P3n2/N1P5/2K5/8 w - - 7 50,-442.0,-472.0,c2b3,quiet,8,0.010832,30.0,0
r1b1k3/2p2rp1/p3p2p/4np2/4n3/BP1B3P/P4PP1/3RK2R w Kq - 0 15,-924.0,-918.0,d3e2,quiet,22,0.000170,6.0,0
2r1kb1r/p3pppp/p1pp4/6qP/3N4/1P2PQ2/P1PN2P1/4K2R w Kk - 2 16,-479.0,61.0,e1g1,quiet,24,0.527222,540.0,0
8/5p2/4k1b1/1P2n3/8/P1K1N3/8/8 w - - 3 37,-549.0,-536.0,c3d4,quiet,8,0.003023,13.0,0
r1b2kr1/pp3p1p/8/5p2/5q2/1P2p3/P3Q1R1/5RK1 b - - 2 24,1967.0,2181.0,f4e4,quiet,17,0.000009,214.0,0
r4rk1/p3nbpp/1p1q1p2/2p5/3pP3/P2N2RN/1PP1Q1PP/1K5R b - - 5 18,713.0,812.0,e7g6,quiet,25,0.006987,99.0,0
5kn1/p2r4/1p2p1pp/1P3p2/2PP4/3P3P/n1KB1P1P/5B1R b - - 2 20,-793.0,-1187.0,d7d4,capture,21,0.009227,394.0,0
2r1k2r/3p2p1/p3ppb1/Q7/2PNPbpP/1R6/P5P1/R5K1 w k - 0 22,1039.0,1160.0,d4f5,quiet,21,0.001263,121.0,0
r5kr/2qb1pp1/2pb1n2/1p1p2Bp/p2P4/2NB1Q2/2P2PPP/1R2R1K1 w - - 0 16,-597.0,-242.0,g5f6,capture,26,0.167748,355.0,0
rn1qk2r/p1p5/1p2p1pp/3b1p2/P1pPnP2/2B1PN2/1P2B1PP/R2Q1RK1 b kq - 3 10,226.0,205.0,b8d7,quiet,29,0.021035,21.0,0
4R3/kpn5/pN3r1n/P1KP4/5p2/5P1B/1P6/8 w - - 14 56,1482.0,1753.0,e8d8,quiet,15,0.000156,271.0,0
1Rnr2k1/1R3bp1/p4r2/q4p1p/P1p2QnP/2p2BP1/P3P3/2B2NK1 w - - 0 27,-276.0,440.0,f4c7,quiet,25,0.756857,716.0,0
